title_year,aspect_ratio,duration.1,budget,imdb_score,cast_total_facebook_likes,worldwide_gross,production_budget
2002.0,2.35,172.0,94000000.0,8.7,23052.0,934703179.0,94000000.0
2014.0,2.35,102.0,95000000.0,5.5,17098.0,110623265.0,95000000.0
2001.0,2.35,100.0,115000000.0,5.7,12150.0,273330185.0,94000000.0
2014.0,2.35,119.0,100000000.0,6.3,54031.0,103039258.0,100000000.0
2001.0,1.85,92.0,93000000.0,5.9,2574.0,365900000.0,93000000.0
2011.0,2.35,105.0,93000000.0,7.6,13118.0,482860185.0,93000000.0
2008.0,2.35,107.0,90000000.0,6.6,1614.0,162839667.0,92500000.0
2013.0,1.85,101.0,92000000.0,5.3,15481.0,304249198.0,92000000.0
2004.0,2.35,115.0,92000000.0,8.0,1901.0,614726752.0,92000000.0
1995.0,2.35,124.0,98000000.0,5.6,3611.0,18517322.0,92000000.0
2010.0,2.35,118.0,95000000.0,5.9,14024.0,223050874.0,95000000.0
1997.0,1.85,98.0,90000000.0,7.3,12998.0,587790539.0,90000000.0
1999.0,1.85,82.0,90000000.0,7.9,21275.0,511358276.0,90000000.0
2010.0,2.35,98.0,100000000.0,6.8,25780.0,169511609.0,95000000.0
2001.0,2.35,90.0,90000000.0,6.6,664.0,347425832.0,90000000.0
2000.0,2.35,130.0,100000000.0,6.6,12890.0,288693989.0,90000000.0
2009.0,2.35,90.0,100000000.0,7.0,1227.0,236827677.0,100000000.0
2009.0,1.85,94.0,90000000.0,7.0,1258.0,859701857.0,90000000.0
2013.0,2.35,114.0,90000000.0,7.3,5095.0,188536838.0,91000000.0
2000.0,2.35,94.0,92000000.0,5.5,15419.0,259736090.0,90000000.0
2006.0,2.35,151.0,90000000.0,8.5,45648.0,289660619.0,90000000.0
1998.0,1.66,88.0,90000000.0,7.5,4478.0,303500000.0,90000000.0
2008.0,2.35,121.0,92000000.0,7.0,23484.0,191091250.0,90000000.0
2011.0,2.35,158.0,90000000.0,7.8,20388.0,239373970.0,90000000.0
1995.0,2.35,128.0,90000000.0,7.6,14274.0,366101666.0,90000000.0
2009.0,1.85,128.0,90000000.0,7.6,23996.0,498438212.0,90000000.0
2001.0,2.35,95.0,120000000.0,6.8,15237.0,186049020.0,90000000.0
2015.0,1.85,92.0,90000000.0,5.0,38450.0,235296080.0,90000000.0
2008.0,1.85,121.0,75000000.0,7.1,14165.0,203902107.0,90000000.0
2008.0,1.85,113.0,90000000.0,5.5,13446.0,202910991.0,90000000.0
2015.0,2.35,106.0,88000000.0,5.6,35367.0,244126300.0,90000000.0
2001.0,1.85,146.0,100000000.0,7.1,6217.0,235900000.0,90000000.0
2003.0,2.35,88.0,90000000.0,4.9,2622.0,155750628.0,90000000.0
1997.0,2.35,150.0,90000000.0,7.4,12289.0,165900000.0,90000000.0
2000.0,1.85,119.0,95000000.0,5.7,2356.0,191200000.0,90000000.0
2005.0,2.35,128.0,80000000.0,6.4,2100.0,162753837.0,90000000.0
2013.0,2.35,106.0,90000000.0,5.9,10882.0,200859554.0,90000000.0
2003.0,2.35,117.0,95000000.0,5.5,33154.0,157092943.0,90000000.0
